2.8000E+02	4.7309E-23
2.8050E+02	1.2307E-21
2.8100E+02	5.6895E-21
2.8150E+02	1.5662E-19
2.8200E+02	1.1946E-18
2.8250E+02	4.5436E-18
2.8300E+02	1.8452E-17
2.8350E+02	3.5360E-17
2.8400E+02	7.2670E-16
2.8450E+02	2.4856E-15
2.8500E+02	8.0142E-15
2.8550E+02	4.2613E-14
2.8600E+02	1.3684E-13
2.8650E+02	8.3823E-13
2.8700E+02	2.7367E-12
2.8750E+02	1.0903E-11
2.8800E+02	6.2337E-11
2.8850E+02	1.7162E-10
2.8900E+02	5.6265E-10
2.8950E+02	2.0749E-09
2.9000E+02	6.0168E-09
2.9050E+02	1.3783E-08
2.9100E+02	3.5052E-08
2.9150E+02	1.0913E-07
2.9200E+02	2.6830E-07
2.9250E+02	4.2685E-07
2.9300E+02	8.6466E-07
2.9350E+02	2.2707E-06
2.9400E+02	4.1744E-06
2.9450E+02	6.5911E-06
2.9500E+02	1.2290E-05
2.9550E+02	2.7826E-05
2.9600E+02	4.7904E-05
2.9650E+02	7.1345E-05
2.9700E+02	9.6800E-05
2.9750E+02	1.8608E-04
2.9800E+02	2.8988E-04
2.9850E+02	3.5789E-04
2.9900E+02	4.9211E-04
2.9950E+02	8.6068E-04
3.0000E+02	1.0205E-03
3.0050E+02	1.2450E-03
3.0100E+02	1.9300E-03
3.0150E+02	2.6914E-03
3.0200E+02	2.9209E-03
3.0250E+02	4.2840E-03
3.0300E+02	7.0945E-03
3.0350E+02	8.9795E-03
3.0400E+02	9.4701E-03
3.0450E+02	1.1953E-02
3.0500E+02	1.6463E-02
3.0550E+02	1.8719E-02
3.0600E+02	1.8577E-02
3.0650E+02	2.1108E-02
3.0700E+02	2.7849E-02
3.0750E+02	3.5635E-02
3.0800E+02	3.7837E-02
3.0850E+02	4.1430E-02
3.0900E+02	4.0534E-02
3.0950E+02	4.3306E-02
3.1000E+02	5.0939E-02
3.1050E+02	6.5540E-02
3.1100E+02	8.2922E-02
3.1150E+02	8.4080E-02
